annee;diplome;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_ETAB;cle_DISC
2013;LICENCE PRO;0720916E;Le Mans - Maine;A17;Nantes;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;22;68;7;ns;ns;ns;ns;ns;;29;8.8;1760;ns;ns;ns;1430;2070;Le Mans - Maine_18;disc07_18
2013;LICENCE PRO;0720916E;Le Mans - Maine;A17;Nantes;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;13;67;4;ns;ns;ns;ns;ns;;29;8.8;1760;ns;ns;ns;1430;2070;Le Mans - Maine_18;disc10_18
2013;LICENCE PRO;0720916E;Le Mans - Maine;A17;Nantes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;9;71;3;ns;ns;ns;ns;ns;;29;8.8;1760;ns;ns;ns;1430;2070;Le Mans - Maine_18;disc11_18
2013;LICENCE PRO;0720916E;Le Mans - Maine;A17;Nantes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;9;71;3;ns;ns;ns;ns;ns;;29;8.8;1760;ns;ns;ns;1430;2070;Le Mans - Maine_30;disc11_30
2013;LICENCE PRO;0720916E;Le Mans - Maine;A17;Nantes;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;24;71;8;ns;ns;ns;ns;ns;;29;8.8;1760;ns;ns;ns;1430;2070;Le Mans - Maine_18;disc14_18
2013;LICENCE PRO;0720916E;Le Mans - Maine;A17;Nantes;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;24;71;8;ns;ns;ns;ns;ns;;29;8.8;1760;ns;ns;ns;1430;2070;Le Mans - Maine_30;disc14_30
2013;LICENCE PRO;0730858L;Chambéry - Savoie;A08;Grenoble;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;234;80;51;94;46;80;97;1630;25400;8;8.9;1830;9;25;55;1780;2200;Chambéry - Savoie_30;disc01_30
2013;LICENCE PRO;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;116;84;23;88;90;68;99;1630;25400;8;8.9;1830;10;20;11;1780;2200;Chambéry - Savoie_18;disc15_18
2013;LICENCE PRO;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;28;89;5;ns;ns;ns;ns;ns;;8;8.9;1830;ns;ns;ns;1780;2200;Chambéry - Savoie_18;disc17_18
2013;LICENCE PRO;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;20;63;;ns;ns;ns;ns;ns;;3;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_30;disc01_30
2013;LICENCE PRO;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;5;89;;ns;ns;ns;ns;ns;;3;8.8;2070;ns;ns;ns;1630;2580;Paris 1 - Panthéon Sorbonne_18;disc07_18
2013;LICENCE PRO;0751718K;Paris 2 - Panthéon Assas;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;1;2;;ns;ns;ns;ns;ns;;0;8.8;2070;ns;ns;ns;1630;2580;Paris 2 - Panthéon Assas_30;disc01_30
2013;LICENCE PRO;0751718K;Paris 2 - Panthéon Assas;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;0;;;nd;nd;nd;nd;nd;;0;8.8;2070;nd;nd;nd;1630;2580;Paris 2 - Panthéon Assas_30;disc04_30
2013;LICENCE PRO;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;1;60;;ns;ns;ns;ns;ns;;0;8.8;2070;ns;ns;ns;1630;2580;Paris 3 - Sorbonne Nouvelle_18;disc06_18
2013;LICENCE PRO;0751720M;Paris 4 - Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;1;25;;ns;ns;ns;ns;ns;;0;8.8;2070;ns;ns;ns;1630;2580;Paris 4 - Sorbonne_18;disc01_18
2013;LICENCE PRO;0751720M;Paris 4 - Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;1;25;;ns;ns;ns;ns;ns;;0;8.8;2070;ns;ns;ns;1630;2580;Paris 4 - Sorbonne_18;disc04_18
2013;LICENCE PRO;0490970N;Angers;A17;Nantes;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;4;50;1;ns;ns;ns;ns;ns;;25;8.8;1760;ns;ns;ns;1430;2070;Angers_18;disc08_18
2013;LICENCE PRO;0490970N;Angers;A17;Nantes;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;13;76;3;ns;ns;ns;ns;ns;;25;8.8;1760;ns;ns;ns;1430;2070;Angers_30;disc10_30
2013;LICENCE PRO;0490970N;Angers;A17;Nantes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;18;68;4;ns;ns;ns;ns;ns;;25;8.8;1760;ns;ns;ns;1430;2070;Angers_18;disc11_18
2013;LICENCE PRO;0490970N;Angers;A17;Nantes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;167;69;38;91;79;53;96;1470;22900;25;8.8;1760;6;44;31;1430;2070;Angers_18;disc12_18
2013;LICENCE PRO;0490970N;Angers;A17;Nantes;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;72;70;16;88;92;71;100;1500;23400;25;8.8;1760;14;66;40;1430;2070;Angers_30;disc13_30
2013;LICENCE PRO;0490970N;Angers;A17;Nantes;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;74;68;17;96;80;85;99;1520;23800;25;8.8;1760;5;34;30;1430;2070;Angers_30;disc15_30
2013;LICENCE PRO;0511296G;Reims - Champagne Ardenne;A19;Reims;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;2;83;1;ns;ns;ns;ns;ns;;23;10.1;1820;ns;ns;ns;1490;2150;Reims - Champagne Ardenne_18;disc02_18
2013;LICENCE PRO;0511296G;Reims - Champagne Ardenne;A19;Reims;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;15;70;4;ns;ns;ns;ns;ns;;23;10.1;1820;ns;ns;ns;1490;2150;Reims - Champagne Ardenne_18;disc11_18
2013;LICENCE PRO;0511296G;Reims - Champagne Ardenne;A19;Reims;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;15;70;4;ns;ns;ns;ns;ns;;23;10.1;1820;ns;ns;ns;1490;2150;Reims - Champagne Ardenne_30;disc11_30
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;317;66;37;89;37;69;98;1510;23500;24;10.1;1780;7;28;59;1430;2100;Lorraine_18;disc01_18
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;9;67;1;ns;ns;ns;ns;ns;;24;10.1;1780;ns;ns;ns;1430;2100;Lorraine_30;disc02_30
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;15;62;2;ns;ns;ns;ns;ns;;24;10.1;1780;ns;ns;ns;1430;2100;Lorraine_30;disc03_30
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;44;81;4;95;48;64;93;ns;;24;10.1;1780;23;66;70;1430;2100;Lorraine_30;disc10_30
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;540;78;54;91;79;69;98;1520;23700;24;10.1;1780;7;39;21;1430;2100;Lorraine_18;disc12_18
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;78;83;7;93;82;64;99;1410;22000;24;10.1;1780;12;50;59;1430;2100;Lorraine_18;disc13_18
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;78;83;7;92;88;79;99;1500;23400;24;10.1;1780;18;50;59;1430;2100;Lorraine_30;disc13_30
2013;LICENCE PRO;0542493S;Lorraine;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;140;81;14;91;73;79;99;1530;23900;24;10.1;1780;14;48;12;1430;2100;Lorraine_18;disc16_18
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;45;79;19;87;53;72;97;1560;24400;23;8.8;1730;13;41;46;1390;2050;Bretagne-Sud_30;disc04_30
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;176;78;76;90;79;62;99;1520;23700;23;8.8;1730;17;51;34;1390;2050;Bretagne-Sud_18;disc12_18
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;176;78;76;94;82;79;97;1600;25000;23;8.8;1730;16;51;34;1390;2050;Bretagne-Sud_30;disc12_30
2013;LICENCE PRO;0561718N;Bretagne-Sud;A14;Rennes;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;29;79;12;ns;ns;ns;ns;ns;;23;8.8;1730;ns;ns;ns;1390;2050;Bretagne-Sud_18;disc13_18
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;14;75;5;ns;ns;ns;ns;ns;;32;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_30;disc02_30
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;22;50;9;ns;ns;ns;ns;ns;;32;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_18;disc05_18
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;22;50;9;ns;ns;ns;ns;ns;;32;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_30;disc05_30
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;12;87;3;ns;ns;ns;ns;ns;;32;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_18;disc06_18
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;12;87;3;ns;ns;ns;ns;ns;;32;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_30;disc06_30
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;9;61;3;ns;ns;ns;ns;ns;;32;12.4;1820;ns;ns;ns;1480;2120;Valenciennes - Hainaut-Cambrésis_18;disc07_18
2013;LICENCE PRO;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;163;66;55;91;82;83;98;1680;26300;32;12.4;1820;9;25;17;1480;2120;Valenciennes - Hainaut-Cambrésis_30;disc12_30
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;28;87;9;ns;ns;ns;ns;ns;;26;12.4;1820;ns;ns;ns;1480;2120;Lille 1 - Sciences technologies_18;disc07_18
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;15;89;5;ns;ns;ns;ns;ns;;26;12.4;1820;ns;ns;ns;1480;2120;Lille 1 - Sciences technologies_18;disc10_18
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;12;100;4;ns;ns;ns;ns;ns;;26;12.4;1820;ns;ns;ns;1480;2120;Lille 1 - Sciences technologies_30;disc13_30
2013;LICENCE PRO;0593559Y;Lille 1 - Sciences technologies;A09;Lille;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;35;91;11;97;91;88;91;ns;;26;12.4;1820;20;11;6;1480;2120;Lille 1 - Sciences technologies_30;disc16_30
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;111;80;72;94;51;82;96;1690;26400;26;12.4;1820;9;14;63;1480;2120;Lille 2 - Droit et santé_30;disc01_30
2013;LICENCE PRO;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;24;70;18;ns;ns;ns;ns;ns;;26;12.4;1820;ns;ns;ns;1480;2120;Lille 2 - Droit et santé_30;disc12_30
2013;LICENCE PRO;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;14;71;35;ns;ns;ns;ns;ns;;47;12.4;1820;ns;ns;ns;1480;2120;Lille 3 - Charles-de-Gaulle_18;disc01_18
2013;LICENCE PRO;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;31;83;65;88;ns;33;73;ns;;47;12.4;1820;ns;ns;74;1480;2120;Lille 3 - Charles-de-Gaulle_18;disc07_18
2013;LICENCE PRO;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;22;83;45;ns;ns;ns;ns;ns;;47;12.4;1820;ns;ns;ns;1480;2120;Lille 3 - Charles-de-Gaulle_18;disc10_18
2013;LICENCE PRO;0593561A;Lille 3 - Charles-de-Gaulle;A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;22;83;45;ns;ns;ns;ns;ns;;47;12.4;1820;ns;ns;ns;1480;2120;Lille 3 - Charles-de-Gaulle_30;disc10_30
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;12;73;6;ns;ns;ns;ns;ns;;28;12.4;1820;ns;ns;ns;1480;2120;Littoral - Côte d'Opale_18;disc02_18
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;12;73;6;ns;ns;ns;ns;ns;;28;12.4;1820;ns;ns;ns;1480;2120;Littoral - Côte d'Opale_30;disc02_30
